UID         PID   PPID  C STIME TTY          TIME CMD
root        184      2  0 09:35 ?        00:00:00 [scsi_tmf_30]
root        185      2  0 09:35 ?        00:00:00 [scsi_eh_31]
root        186      2  0 09:35 ?        00:00:00 [scsi_tmf_31]
root        214      2  0 09:35 ?        00:00:00 [scsi_eh_32]
root        215      2  0 09:35 ?        00:00:00 [scsi_tmf_32]
root        228      2  0 09:35 ?        00:00:02 [jbd2/sda1-8]
root        229      2  0 09:35 ?        00:00:00 [ext4-rsv-conver]
root        352      1  0 09:35 ?        00:00:00 upstart-udev-bridge --daemon
root        357      1  0 09:35 ?        00:00:00 /lib/systemd/systemd-udevd --daemon
root        462      2  0 09:36 ?        00:00:00 [ttm_swap]
root        464      1  0 09:36 ?        00:00:00 upstart-file-bridge --daemon
root        472      2  0 09:36 ?        00:00:00 [kworker/0:1H]
syslog      578      1  0 09:36 ?        00:00:00 rsyslogd
message+    583      1  0 09:36 ?        00:00:01 dbus-daemon --system --fork
root        632      1  0 09:36 ?        00:00:00 /usr/sbin/bluetoothd
root        638      1  0 09:36 ?        00:00:00 /lib/systemd/systemd-logind
root        646      2  0 09:36 ?        00:00:00 [krfcommd]
root        676      1  0 09:36 ?        00:00:00 upstart-socket-bridge --daemon
avahi       683      1  0 09:36 ?        00:00:00 avahi-daemon: running [ubuntu.local]
avahi       684    683  0 09:36 ?        00:00:00 avahi-daemon: chroot helper
root        746      1  0 09:36 ?        00:00:00 /usr/sbin/ModemManager
root        876      1  0 09:36 ?        00:00:02 NetworkManager
root        894      1  0 09:36 ?        00:00:01 /usr/lib/policykit-1/polkitd --no-debug
root        944      1  0 09:36 tty4     00:00:00 /sbin/getty -8 38400 tty4
root        948      1  0 09:36 tty5     00:00:00 /sbin/getty -8 38400 tty5
root        949      1  0 09:36 ?        00:00:04 thermald --no-daemon --dbus-enable
root        956      1  0 09:36 tty2     00:00:00 /sbin/getty -8 38400 tty2
root        957      1  0 09:36 tty3     00:00:00 /sbin/getty -8 38400 tty3
root        960      1  0 09:36 tty6     00:00:00 /sbin/getty -8 38400 tty6
root        998      1  0 09:36 ?        00:00:00 /usr/sbin/sshd -D
root       1010      1  0 09:36 ?        00:00:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
root       1025      1  0 09:36 ?        00:00:00 cron
root       1047      1  0 09:36 ?        00:00:00 /usr/sbin/cups-browsed
kernoops   1057      1  0 09:36 ?        00:00:00 /usr/sbin/kerneloops
whoopsie   1071      1  0 09:36 ?        00:00:00 whoopsie
nobody     1085    876  0 09:36 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root       1123      1  0 09:36 ?        00:00:49 /usr/bin/vmtoolsd
root       1238      1  0 09:36 tty1     00:00:00 /sbin/getty -8 38400 tty1
root       1356      1  0 09:36 ?        00:00:00 lightdm
root       1369   1356  0 09:36 tty7     00:03:11 /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root       1372      1  0 09:36 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       1412      2  0 09:36 ?        00:00:00 [kauditd]
root       1455   1356  0 09:36 ?        00:00:00 lightdm --session-child 12 19
root       1493      1  0 09:36 ?        00:00:00 /usr/lib/upower/upowerd
rtkit      1532      1  0 09:36 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
colord     1725      1  0 09:36 ?        00:00:00 /usr/lib/colord/colord
chunppo    1757      1  0 09:41 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
chunppo    1768   1455  0 09:41 ?        00:00:00 init --user
chunppo    1870   1768  0 09:41 ?        00:00:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-O6wOYY4vfl
chunppo    1881   1768  0 09:41 ?        00:00:00 upstart-event-bridge
chunppo    1894   1768  0 09:41 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
chunppo    1904   1768  0 09:41 ?        00:00:00 upstart-file-bridge --daemon --user
chunppo    1906   1768  0 09:41 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
chunppo    1908   1768  0 09:41 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
chunppo    1909   1768  0 09:41 ?        00:00:11 /usr/bin/ibus-daemon --daemonize --xim
chunppo    1932   1768  0 09:41 ?        00:00:01 /usr/lib/unity-settings-daemon/unity-settings-daemon
chunppo    1937   1768  0 09:41 ?        00:00:05 /usr/lib/x86_64-linux-gnu/hud/hud-service
chunppo    1939   1768  0 09:41 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
chunppo    1940   1768  0 09:41 ?        00:00:00 gnome-session --session=ubuntu
chunppo    1944   1768  0 09:41 ?        00:00:05 /usr/lib/unity/unity-panel-service
chunppo    1946   1939  0 09:41 ?        00:00:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
chunppo    1949   1768  0 09:41 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
chunppo    1961   1768  0 09:41 ?        00:00:00 /usr/lib/gvfs/gvfsd
chunppo    1965   1768  0 09:41 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
chunppo    1982   1768  0 09:41 ?        00:00:01 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
chunppo    1988   1909  0 09:41 ?        00:00:00 /usr/lib/ibus/ibus-dconf
chunppo    1992   1768  0 09:41 ?        00:00:00 /usr/lib/dconf/dconf-service
